DMC;Natura XL;True;8.46;100% Baumwolle;8 mm
Drops;Safran;True;1.08;100% Baumwolle;3 mm
Drops;Baby Merino Mix;True;2.33;100% Merinowolle;3 mm
Hahn;Alpacca Speciale;False;;;
Stylecraft;Special dk;True;3.05;100% Acryl;4 mm
